RecipeName,Diet,TotalTimeInMins,Cuisine,Ingredients,energy_kcal_x,carb_g_x,protein_g_x,fat_g_x,fibre_g_x,cholesterol_mg_x,calcium_mg_x,potassium_mg_x,energy_kcal_y,carb_g_y,protein_g_y,fat_g_y,fibre_g_y,cholesterol_mg_y,calcium_mg_y,potassium_mg_y
Masala Karela Recipe,diabetic friendly,45,Indian,"['6 karela (bitter gourd/ pavakkai) - deseeded,salt - to taste,1 onion - thinly sliced,3 tablespoon gram flour (besan),2 teaspoons turmeric powder (haldi),1 tablespoon red chilli powder,2 teaspoons cumin seeds (jeera),1 tablespoon coriander powder (dhania),1 tablespoon amchur (dry mango powder),sunflower oil - as required']",286,31,7,17,13,0,124,1197,0,0,0,0,0,0,0,0
टमाटर पुलियोगरे रेसिपी - Spicy Tomato Rice (Recipe In Hindi),vegetarian,15,South Indian Recipes,"['2-1/2 कप चावल - पका ले,3 टमाटर,3 छोटा चमच्च बीसी बेले भात पाउडर,नमक - स्वाद अनुसार,1 छोटा चमच्च चना दाल,1/2 छोटा चमच्च जीरा,1 छोटा चमच्च सफ़ेद उरद दाल,1/2 छोटा चमच्च राइ,1 हरी मिर्च,1 सुखी लाल मिर्च,2 छोटा चमच्च काजू - या मूंगफली,1-1/2 बड़े चमच्च तेल - प्रयोग अनुसार,1/2 छोटा चमच्च हींग']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,high protein vegetarian,50,South Indian Recipes,"['1-1/2 cups rice vermicelli noodles (thin),1 onion - sliced,1/2 cup carrots (gajjar) - chopped,1/3 cup green peas (matar),2 green chillies,1/4 teaspoon asafoetida (hing),1 teaspoon mustard seeds,1 teaspoon white urad dal (split),1 teaspoon ghee,1 sprig curry leaves,salt - to taste,1 teaspoon lemon juice']",751,164,9,4,8,6,72,310,0,0,0,0,0,0,0,0
Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,non vegeterian,45,Andhra,"['500 grams chicken,2 onion - chopped,1 tomato - chopped,4 green chillies - slit,1 inch ginger - finely chopped,6 cloves garlic - finely chopped,1/2 teaspoon turmeric powder (haldi),1 teaspoon garam masala powder,2 tablespoon sesame (gingelly) oil,salt - to taste,1/4 teaspoon methi seeds (fenugreek seeds),1 tablespoon coriander (dhania) seeds,4 dry red chillies,1 teaspoon fennel seeds (saunf),1 teaspoon sesame (gingelly) oil,4 cloves garlic,2 cups sorrel leaves (gongura) - picked and chopped,salt - to taste']",570,36,28,35,9,90,116,962,0,0,0,0,0,0,0,0
आंध्रा स्टाइल आलम पचड़ी रेसिपी - Adrak Chutney (Recipe In Hindi),vegetarian,30,Andhra,"['1 बड़ा चमच्च चना दाल,1 बड़ा चमच्च सफ़ेद उरद दाल,2 सुखी लाल मिर्च,1 बड़ा चमच्च धनिये के बीज,3 इंच अदरक - काट ले,1 प्याज - काट ले,1 टमाटर - काट ले,नमक - स्वाद अनुसार,1 छोटा चमच्च राइ,हींग - चुटकी भर,तेल - प्रयोग अनुसार,1 टहनी कढ़ी']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),high protein vegetarian,30,South Indian Recipes,"['1 cup rice - soaked for 20 minutes,1/2 cup yellow moong dal (split) - soaked for 20 minutes,1 cup mint leaves (pudina) - tightly packed,1/4 cup coriander (dhania) leaves - tightly packed,1 green chilli,1 inch ginger,1 teaspoon cumin seeds (jeera),5 cups water,1 teaspoon sunflower oil,salt - to taste,2 tablespoons ghee,8 cashew nuts - halved,1 teaspoon cumin seeds (jeera),1 teaspoon whole black peppercorns,1 sprig curry leaves,1 pinch asafoetida (hing)']",822,130,28,22,12,38,525,1677,0,0,0,0,0,0,0,0
Udupi Style Ash Gourd Coconut Curry Recipe,vegetarian,40,Udupi,"['500 grams vellai poosanikai (ash gourd/white pumpkin),1/2 teaspoon turmeric powder (haldi),salt - to taste,sunflower oil - for cooking,4 dry red chillies,1/2 cup fresh coconut - grated,30 grams tamarind water,1/2 teaspoon methi seeds (fenugreek seeds),1/2 teaspoon cumin seeds (jeera),2 teaspoons coriander (dhania) seeds,2 teaspoons sesame seeds (til seeds),3 tablespoons jaggery,1 cup tamarind water,1 teaspoon sunflower oil,1/2 teaspoon mustard seeds,2 sprig curry leaves - roughly torn,1 dry red chillies']",709,123,8,26,11,0,249,1340,0,0,0,0,0,0,0,0
Mexican Style Black Bean Burrito Recipe,vegetarian,40,Mexican,"['4 tortillas,1/4 cup black beans - soaked overnight and  cooked,6 to 8 spinach leaves (palak),1 onion - chopped,1 tomato - chopped,2 cloves garlic - chopped,2 sprig coriander (dhania) leaves,1 cup rice - or brown rice,1 lemon juice,4 spring onion greens - chopped,4 tablespoons cheddar cheese,4 tablespoon hung curd (greek yogurt)']",748,120,26,18,9,31,427,852,0,0,0,0,0,0,0,0
Spicy Crunchy Masala Idli Recipe,vegetarian,30,South Indian Recipes,"['10 idli - cut into strips,1 cup green bell pepper (capsicum) - thinly sliced,1 cup tomato - finely chopped,1 cup onions - finely chopped,2 green chillies - finely chopped,1/4 teaspoon red chilli powder,1/2 teaspoon turmeric powder (haldi),3 tablespoons tomato ketchup,coriander (dhania) leaves - to taste,mint leaves (pudina) - to taste,2 teaspoons sunflower oil,salt - to taste']",135,23,2,4,5,0,51,549,0,0,0,0,0,0,0,0
गोभी के पत्तो की चटनी रेसिपी - Cauliflower Leaves Chutney (Recipe In Hindi),vegetarian,25,South Indian Recipes,"['1 कप गोभी के पत्ते,3/4 कप टमाटर,18 ग्राम इमली,2 बड़े चमच्च सफ़ेद उरद दाल,4 सुखी लाल मिर्च,नमक - स्वाद अनुसार,हींग - चुटकी भर,3 कली लहसुन,हल्दी पाउडर - चुटकी भर,1 बड़ा चमच्च तेल,1 छोटा चमच्च राइ,1/2 छोटा चमच्च जीरा,1 टहनी कढ़ी पत्ता']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
